timestamp,tollID,tagRef,tagHomeID,charge
2022-01-01 00:23,NAO30,NAO5ZJA8DZ,NAO,2.5
2022-01-01 01:02,NO03,NOXFGCAQV,NO,3.25
2022-01-01 01:26,NAO38,NAONSM43D8,NAO,2.5
2022-01-01 01:29,AM09,NOQLL8OS9,NO,3.1
2022-01-01 01:39,AM03,AMNT3W5UZ,AM,2.2
2022-01-01 01:45,KO05,KOWM31YIH,KO,1.9
2022-01-01 03:01,GE01,NAOBMYOFQE,NAO,14.7
2022-01-01 03:43,NAO04,MOV86WZS3,MO,2.5
2022-01-01 03:58,KO04,KOWKTAKPU,KO,2.95
2022-01-01 04:16,OO02,OOQ0OXFQ8,OO,2.3
2022-01-01 04:45,NO09,EG7UR23GD,EG,4.2
2022-01-01 04:55,OO03,OOZSJ49IT,OO,2.4
2022-01-01 04:56,NAO37,NAOURTP0LZ,NAO,2.5
2022-01-01 05:24,NAO29,NAO5UQPGB7,NAO,2.5
2022-01-01 05:35,MO11,NO7PTX63C,NO,2.05
2022-01-01 06:08,NAO07,NAOP0J43D5,NAO,2.5
2022-01-01 06:36,OO03,NAOVZ41NAM,NAO,2.4
2022-01-01 07:12,OO08,OOQ0OXFQ8,OO,1.9
2022-01-01 08:12,KO03,KOWKTAKPU,KO,2.95
2022-01-01 08:55,MO05,MOJCKJLTE,MO,2.6
2022-01-01 09:09,OO08,MOJCKJLTE,MO,1.9
2022-01-01 09:11,AM06,AMLJH75LX,AM,3.6
2022-01-01 09:27,EG17,EGIGQPKI7,EG,2.1
2022-01-01 09:44,AM01,NAOP0J43D5,NAO,2.0
2022-01-01 11:01,GE01,GEX7EEDTJ,GE,14.7
2022-01-01 11:41,EG19,OO7PZE9VI,OO,1.4
2022-01-01 11:47,OO06,OO3KKV9RF,OO,3.5
2022-01-01 12:26,AM04,AMH9SDBDW,AM,2.2
2022-01-01 12:40,KO05,KOWM31YIH,KO,1.9
2022-01-01 12:45,NO01,NO7PTX63C,NO,3.85
2022-01-01 13:30,NAO32,EG7UR23GD,EG,2.5
2022-01-01 14:18,NAO23,NAOHL1N13J,NAO,2.5
2022-01-01 14:59,MO02,OOZSJ49IT,OO,1.35
2022-01-01 15:40,NAO36,NAO5UQPGB7,NAO,2.5
2022-01-01 16:31,NAO03,EG9CHJ755,EG,2.5
2022-01-01 16:51,AM05,AMV3A3ZMF,AM,3.6
2022-01-01 16:51,OO10,OOQ0OXFQ8,OO,2.5
2022-01-01 17:04,NO04,NOX6GVWRD,NO,3.25
2022-01-01 17:06,OO02,NAOLY8OZCY,NAO,2.3
2022-01-01 17:38,NAO40,EGRHOCN9J,EG,2.5
2022-01-01 17:51,NO03,AMXAJI0Y6,AM,3.25
2022-01-01 17:58,NAO37,NAOBMYOFQE,NAO,2.5
2022-01-01 18:03,EG31,OOQ0OXFQ8,OO,1.4
2022-01-01 18:29,KO08,KOJDP0LVS,KO,1.85
2022-01-01 18:51,EG37,EGRHOCN9J,EG,1.4
2022-01-01 19:02,NAO19,NAOHAFEYUH,NAO,2.5
2022-01-01 19:15,OO04,OO7PZE9VI,OO,2.4
2022-01-01 19:42,NAO34,MOV86WZS3,MO,2.5
2022-01-01 20:13,NO14,OO1B0Z3NX,OO,4.15
2022-01-01 20:34,OO07,OO1B0Z3NX,OO,1.9
2022-01-01 21:59,EG34,EGVWPVS7H,EG,2.0
